lon0,lat0,lon1,lon0,distance
41.8441,-71.3988,41.7528,-71.4717,18422
41.8298,-71.3843,41.686,-71.284,25166
41.8298,-71.3843,41.7528,-71.4717,15542
41.8088,-71.3791,41.686,-71.284,22910
41.8088,-71.3791,41.7528,-71.4717,16338
41.7738,-71.3403,41.686,-71.284,15355
41.7738,-71.3403,41.7528,-71.4717,26274
41.9084,-71.4154,41.686,-71.284,40263
41.9084,-71.4154,41.7528,-71.4717,27716
41.8605,-71.4474,41.686,-71.284,32369
41.8605,-71.4474,41.7528,-71.4717,19821
41.8626,-71.473,41.686,-71.284,36004
41.8626,-71.473,41.7528,-71.4717,23186
41.8283,-71.5376,41.686,-71.284,39072
41.8283,-71.5376,41.7528,-71.4717,14867
41.7221,-71.371,41.686,-71.284,41276
41.7221,-71.371,41.7528,-71.4717,12667
41.7005,-71.375,41.686,-71.284,43193
41.7005,-71.375,41.7528,-71.4717,14584
41.6951,-71.4001,41.686,-71.284,43748
41.6951,-71.4001,41.7528,-71.4717,11859
41.7089,-71.3958,41.686,-71.284,41148
41.7089,-71.3958,41.7528,-71.4717,12539
41.7073,-71.4416,41.686,-71.284,39369
41.7073,-71.4416,41.7528,-71.4717,7480
41.7109,-71.4233,41.686,-71.284,41345
41.7109,-71.4233,41.7528,-71.4717,9456
41.6905,-71.4461,41.686,-71.284,42915
41.6905,-71.4461,41.7528,-71.4717,8888
41.7153,-71.4634,41.686,-71.284,38243
41.7153,-71.4634,41.7528,-71.4717,5291
41.6783,-71.467,41.686,-71.284,44299
41.6783,-71.467,41.7528,-71.4717,11831
41.6871,-71.4882,41.686,-71.284,43964
41.6871,-71.4882,41.7528,-71.4717,11496
41.7154,-71.4875,41.686,-71.284,39896
41.7154,-71.4875,41.7528,-71.4717,5277
41.6527,-71.4379,41.686,-71.284,50256
41.6527,-71.4379,41.7528,-71.4717,17789
41.7228,-71.4286,41.686,-71.284,41415
41.7228,-71.4286,41.7528,-71.4717,9525
41.5601,-71.2458,41.686,-71.284,17077
41.5601,-71.2458,41.7528,-71.4717,61595
41.5977,-71.2941,41.686,-71.284,17055
41.5977,-71.2941,41.7528,-71.4717,61545
41.532,-71.3083,41.686,-71.284,22038
41.532,-71.3083,41.7528,-71.4717,46958
41.5112,-71.2983,41.686,-71.284,22963
41.5112,-71.2983,41.7528,-71.4717,44785
41.5435,-71.2992,41.686,-71.284,19574
41.5435,-71.2992,41.7528,-71.4717,48974
41.5064,-71.2641,41.686,-71.284,23375
41.5064,-71.2641,41.7528,-71.4717,47356
41.5075,-71.3127,41.686,-71.284,24367
41.5075,-71.3127,41.7528,-71.4717,44174
41.4988,-71.3069,41.686,-71.284,24275
41.4988,-71.3069,41.7528,-71.4717,44155
41.4924,-71.299,41.686,-71.284,24975
41.4924,-71.299,41.7528,-71.4717,45093
41.4635,-71.3295,41.686,-71.284,32018
41.4635,-71.3295,41.7528,-71.4717,48668
41.4823,-71.3148,41.686,-71.284,26401
41.4823,-71.3148,41.7528,-71.4717,45235
41.4933,-71.3274,41.686,-71.284,26667
41.4933,-71.3274,41.7528,-71.4717,44585
41.5139,-71.3773,41.686,-71.284,34755
41.5139,-71.3773,41.7528,-71.4717,36836
41.5157,-71.1649,41.686,-71.284,31604
41.5157,-71.1649,41.7528,-71.4717,63280
41.6667,-71.1889,41.686,-71.284,15958
41.6667,-71.1889,41.7528,-71.4717,43180
41.6406,-71.1996,41.686,-71.284,15266
41.6406,-71.1996,41.7528,-71.4717,48661
41.643,-71.1629,41.686,-71.284,15779
41.643,-71.1629,41.7528,-71.4717,49207
41.5872,-71.1724,41.686,-71.284,22722
41.5872,-71.1724,41.7528,-71.4717,56149
41.5398,-71.3155,41.686,-71.284,21967
41.5398,-71.3155,41.7528,-71.4717,47889
41.784,-71.4123,41.686,-71.284,30948
41.784,-71.4123,41.7528,-71.4717,10471
41.7945,-71.4192,41.686,-71.284,28183
41.7945,-71.4192,41.7528,-71.4717,10832
41.8036,-71.4246,41.686,-71.284,27827
41.8036,-71.4246,41.7528,-71.4717,11302
41.8514,-71.5001,41.686,-71.284,38776
41.8514,-71.5001,41.7528,-71.4717,16780
41.8266,-71.485,41.686,-71.284,34508
41.8266,-71.485,41.7528,-71.4717,17260
41.8118,-71.4798,41.686,-71.284,34667
41.8118,-71.4798,41.7528,-71.4717,9213
41.9129,-71.5262,41.686,-71.284,49199
41.9129,-71.5262,41.7528,-71.4717,24361
41.9846,-71.5335,41.686,-71.284,49071
